Project,Strain,Treatment,Group,Run,SRAName,TrimmedPath_R1,FilteredPath_R1,TrimmedPath_R2,FilteredPath_R2
Crash,NEH,Pre,C,Crash4,SRR15066698,Trimmed/HPLOH_Crash_NEH_Pre_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_C_Crash4_R2_filtered.fastq.gz
Crash,NEH,Pre,A,Crash4,SRR15066700,Trimmed/HPLOH_Crash_NEH_Pre_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_A_Crash4_R2_filtered.fastq.gz
Crash,Wild,Pre,C,Crash4,SRR15066675,Trimmed/HPLOH_Crash_Wild_Pre_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_C_Crash4_R2_filtered.fastq.gz
Crash,Wild,Pre,B,Crash4,SRR15066676,Trimmed/HPLOH_Crash_Wild_Pre_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_B_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_B_Crash4_R2_filtered.fastq.gz
Blank,"NA","NA",3MAR2020,Crash4,SRR15066677,Trimmed/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_filtered.fastq.gz
Blank,"NA","NA",26FEB2020,Crash4,SRR15066678,Trimmed/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_26FEB2020_Crash4_R2_filtered.fastq.gz
Crash,NEH,Fed,A,Crash4,SRR15066671,Trimmed/HPLOH_Crash_NEH_Fed_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_A_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_NEH_Fed_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Fed_A_Crash4_R2_filtered.fastq.gz
Mock,Staggered,"NA",,NoCrash,SRR15066679,Trimmed/HPLOH_Mock_Staggered_NA__NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_Mock_Staggered_NA__NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_Mock_Staggered_NA__NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_Mock_Staggered_NA__NoCrash_R2_filtered.fastq.gz
NoCrash,Aqua,Starve,B,NoCrash,SRR15066684,Trimmed/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R1_filtered.fastq.gz,Trimmed/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_trimmed.fastq.gz,Filtered/HPLOH_NoCrash_Aqua_Starve_B_NoCrash_R2_filtered.fastq.gz
Crash,Wild,Fed,C,Crash4,SRR15066692,Trimmed/HPLOH_Crash_Wild_Fed_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_C_Crash4_R1_filtered.fastq.gz,Trimmed/HPLOH_Crash_Wild_Fed_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Fed_C_Crash4_R2_filtered.fastq.gz
