JacobName,Project,Strain,Treatment,Group,Run,SRAName,ReadDir,JacobName2,SRAName2,JacobFile,SRAFile,TrimmedPath,FilteredPath,DerepPath
HPLOH_Crash_NEH_Pre_C_Crash4,Crash,NEH,Pre,C,Crash4,SRR15066698,1,HPLOH_Crash_NEH_Pre_C_Crash4_R1,SRR15066698_1,HPLOH_Crash_NEH_Pre_C_Crash4_R1.fastq.gz,SRR15066698_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_C_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Pre_C_Crash4_R1_derep.fastq.gz
HPLOH_Crash_NEH_Pre_C_Crash4,Crash,NEH,Pre,C,Crash4,SRR15066698,2,HPLOH_Crash_NEH_Pre_C_Crash4_R2,SRR15066698_2,HPLOH_Crash_NEH_Pre_C_Crash4_R2.fastq.gz,SRR15066698_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_C_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Pre_C_Crash4_R2_derep.fastq.gz
HPLOH_Crash_NEH_Pre_A_Crash4,Crash,NEH,Pre,A,Crash4,SRR15066700,1,HPLOH_Crash_NEH_Pre_A_Crash4_R1,SRR15066700_1,HPLOH_Crash_NEH_Pre_A_Crash4_R1.fastq.gz,SRR15066700_1.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_A_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_A_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Pre_A_Crash4_R1_derep.fastq.gz
HPLOH_Crash_NEH_Pre_A_Crash4,Crash,NEH,Pre,A,Crash4,SRR15066700,2,HPLOH_Crash_NEH_Pre_A_Crash4_R2,SRR15066700_2,HPLOH_Crash_NEH_Pre_A_Crash4_R2.fastq.gz,SRR15066700_2.fastq.gz,Trimmed/HPLOH_Crash_NEH_Pre_A_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_NEH_Pre_A_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_NEH_Pre_A_Crash4_R2_derep.fastq.gz
HPLOH_Crash_Wild_Pre_C_Crash4,Crash,Wild,Pre,C,Crash4,SRR15066675,1,HPLOH_Crash_Wild_Pre_C_Crash4_R1,SRR15066675_1,HPLOH_Crash_Wild_Pre_C_Crash4_R1.fastq.gz,SRR15066675_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_C_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_C_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Pre_C_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Pre_C_Crash4,Crash,Wild,Pre,C,Crash4,SRR15066675,2,HPLOH_Crash_Wild_Pre_C_Crash4_R2,SRR15066675_2,HPLOH_Crash_Wild_Pre_C_Crash4_R2.fastq.gz,SRR15066675_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_C_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_C_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Pre_C_Crash4_R2_derep.fastq.gz
HPLOH_Crash_Wild_Pre_B_Crash4,Crash,Wild,Pre,B,Crash4,SRR15066676,1,HPLOH_Crash_Wild_Pre_B_Crash4_R1,SRR15066676_1,HPLOH_Crash_Wild_Pre_B_Crash4_R1.fastq.gz,SRR15066676_1.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_B_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_B_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Pre_B_Crash4_R1_derep.fastq.gz
HPLOH_Crash_Wild_Pre_B_Crash4,Crash,Wild,Pre,B,Crash4,SRR15066676,2,HPLOH_Crash_Wild_Pre_B_Crash4_R2,SRR15066676_2,HPLOH_Crash_Wild_Pre_B_Crash4_R2.fastq.gz,SRR15066676_2.fastq.gz,Trimmed/HPLOH_Crash_Wild_Pre_B_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Crash_Wild_Pre_B_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Crash_Wild_Pre_B_Crash4_R2_derep.fastq.gz
HPLOH_Blank_NA_NA_3MAR2020_Crash4,Blank,"NA","NA",3MAR2020,Crash4,SRR15066677,1,HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1,SRR15066677_1,HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1.fastq.gz,SRR15066677_1.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_filtered.fastq.gz,Derep/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R1_derep.fastq.gz
HPLOH_Blank_NA_NA_3MAR2020_Crash4,Blank,"NA","NA",3MAR2020,Crash4,SRR15066677,2,HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2,SRR15066677_2,HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2.fastq.gz,SRR15066677_2.fastq.gz,Trimmed/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_trimmed.fastq.gz,Filtered/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_filtered.fastq.gz,Derep/HPLOH_Blank_NA_NA_3MAR2020_Crash4_R2_derep.fastq.gz
